time	V(v_comp)	V(v_f)	V(v_ref)
2.776351000000002e-04	9.384886e-01	1.649997e+00	3.275189e+00
2.786351000000002e-04	9.384886e-01	1.649997e+00	3.273366e+00
2.796351000000002e-04	9.384886e-01	1.649997e+00	3.271479e+00
2.801401000000000e-04	9.384886e-01	1.649997e+00	3.270501e+00
2.802401000000000e-04	9.384886e-01	1.649997e+00	3.270306e+00
2.804401000000000e-04	9.384886e-01	1.649997e+00	3.269913e+00
2.808401000000000e-04	9.384886e-01	1.649997e+00	3.269120e+00
2.816401000000000e-04	9.384886e-01	1.649997e+00	3.267502e+00
2.826401000000001e-04	9.384886e-01	1.649997e+00	3.265423e+00
2.836401000000001e-04	9.384886e-01	1.649997e+00	3.263279e+00
2.846401000000001e-04	9.384886e-01	1.649997e+00	3.261072e+00
2.856401000000001e-04	9.384886e-01	1.649997e+00	3.258802e+00
2.866401000000001e-04	9.384886e-01	1.649997e+00	3.256468e+00
2.876401000000002e-04	9.384886e-01	1.649997e+00	3.254071e+00
2.886401000000002e-04	9.384886e-01	1.649997e+00	3.251610e+00
2.896401000000002e-04	9.384886e-01	1.649997e+00	3.249086e+00
2.901451000000000e-04	9.384886e-01	1.649997e+00	3.247787e+00
2.902451000000000e-04	9.384886e-01	1.649997e+00	3.247528e+00
2.904451000000000e-04	9.384886e-01	1.649997e+00	3.247008e+00
2.908451000000000e-04	9.384886e-01	1.649997e+00	3.245961e+00
2.916451000000000e-04	9.384886e-01	1.649997e+00	3.243835e+00
